driver,156.533,11.400,0.000,73.400,7.200,0.000,15
copilot,57.400,7.800,0.133,14.467,2.800,0.067,15
Other,40.467,28.867,0.200,17.000,12.733,0.067,15
phil_collison,36.333,9.067,15.400,17.000,5.533,7.667,15
sam_mckenna,28.133,8.000,10.400,12.333,4.000,4.533,15
Unknown,15.200,11.133,0.000,8.667,6.800,0.000,15
moffett_field,12.867,5.933,2.200,6.400,3.467,0.933,15
Set,10.467,5.267,0.000,4.533,2.667,0.000,15
gym,10.133,2.733,8.933,4.867,2.067,4.267,15
barracks,10.067,4.267,6.267,5.000,2.733,3.067,15
nanotech,9.733,4.667,5.333,4.800,2.467,3.400,15
hotel,8.800,3.067,7.533,4.800,2.133,4.200,15
mcdonalds,8.267,4.133,4.867,4.333,2.467,2.867,15
car,7.000,3.600,2.400,3.400,1.933,0.933,15
crown_startup_funds,6.933,4.333,4.733,3.067,2.400,2.267,15
museum,6.857,3.286,4.714,1.857,1.429,1.143,14
post_office,6.133,2.933,5.000,2.533,1.467,2.133,15
gas_station,5.667,3.867,3.533,1.200,1.200,0.600,15
hotel_parking_lot,4.267,2.000,2.533,0.333,0.267,0.000,15
417_macoon,4.308,2.923,0.000,2.077,1.308,0.000,13
hangar1,5.600,3.900,0.000,2.100,1.900,0.000,10
commissary,4.000,2.615,2.769,1.538,1.077,0.923,13
expressway,3.538,2.231,1.769,0.231,0.231,0.077,13
intersection3,2.933,2.200,0.000,0.333,0.333,0.000,15
intersection41,3.667,2.250,0.000,0.333,0.333,0.000,12
bowling_alley,3.154,2.154,2.154,0.615,0.615,0.308,13
drivethrough_of_mcdonalds,2.429,2.071,1.500,0.786,0.786,0.571,14
street1,2.833,1.833,0.000,0.250,0.250,0.000,12
intersection21,2.500,2.000,0.000,0.583,0.583,0.000,12
swimming_pool,2.154,1.538,1.462,0.615,0.538,0.462,13
post_office_parking_lot,2.154,1.462,1.385,0.231,0.231,0.077,13
parking_lot_22,1.929,1.214,1.143,0.071,0.071,0.000,14
conference_center,2.077,1.308,1.385,0.154,0.154,0.154,13
street0,2.167,1.583,0.000,0.250,0.167,0.000,12
stop_sign_0,1.923,1.538,1.923,0.231,0.231,0.231,13
fire_hydrant_by_army_barracks,1.846,1.231,1.846,0.154,0.154,0.154,13
intersection40,2.000,1.727,0.000,0.636,0.545,0.000,11
intersection38,2.333,1.667,0.000,0.222,0.222,0.000,9
moffett_airfield,3.500,2.167,0.167,1.667,0.667,0.000,6
ordering_window,1.583,1.333,0.833,0.250,0.250,0.167,12
intersection19,2.250,2.000,0.000,0.000,0.000,0.000,8
