my house,be at,this afternoon
commissary,the commissary,okay yeah
this one,ohh <noise>,this one
this one,this one,yes yeah
its,again </noise>,at the
the exit,there is,and we
the commissary,go to,commissary okay
the commissary,there so,is actually
the commissary,it at,ohh %spk
the back of the post office,park in,okay right
army barracks the,straight %uh-huh,are on
^McDonald's,and then,yes %unint
^McDonald's,go to,okay %int
^McDonald's,and then,is the
army barracks,^Start-Up ^Funds,okay okay
army barracks,yes really,and at
army barracks,there okay,okay so
the next stop sign,left at,this one
the next stop sign,and at,turn right
the next stop sign,and at,straight as
this way,to go,out of
this way,here yes,yes yes
this way,yeah go,there go
this way,then go,and when's
this way,as well,yes this
this way,way yes,or this
this way,way or,th- there
this way,not enter,or %hes
this way,or %hes,this is
the post office,%uh-huh <noise>,is right
the post office,back of,okay right
barracks the army,in- inside,yes it's
the one way,and at,turn right
gym the,%unint after,%unint drive-through
gym the,lot of,is across
this town,new to,I don't
parking lot again,yes %unint,a small
the building with the green roof,you see,%uh-huh and
street that,straight so,where we
a commissary,we have,where we
the stop sign,its at,we turn
the stop sign,right at,<noise> and
the stop sign,okay at,we go
the stop sign,and at,right again
the stop sign,and at,turn left
the stop sign,and at,go straight
the stop sign,turn at,we turn
the stop sign,end after,you turn
the stop sign,%uh-huh at,we'll be
the stop sign,so at,straight and
the stop sign,straight at,straight not
the swimming pool,can see,of the
a museum,we have,which shows
the shadowy place,and use,
the whole campus,charge of,%hes building
^Nanotech,go to,he's he's
^Nanotech,go to,within thirty
^Nanotech,good so,then or
^Nanotech,next yeah,okay we'll
there's,some tennis,a tennis
the ^Moffett ^Field ^Expressway,is on,%uh-huh so
the expressway,accident on,%uh-huh so
the expressway,ohh exit,okay and
here,limit around,is twenty
here,stop signs,and sometimes
here,bored around,%spk okay
here,turn right,yeah it's
here,%spk left,<noise> ohh
here,turn this,this lane
here,and then,right again
here,okay right,yes turn
here,<noise> left,actually I
here,way around,a %unint
here,that intersection,yes ohh
here,s- stop,yes %spk
here,right again,at the
here,ohh yeah,and then
here,okay go,alright so
here,and left,so it's
here,and turn,right onto
here,also park,%unint look
here,go left,%unint %hes
here,left ohh,yes really
here,again yep,yes this
here,%uh-huh over,yes yep
here,having them,on doing
here,they are,and heard
here,that they're,every year
here,turn left,onto the
here,go left,and ohh
here,turn left,onto the
here,who lives,%uh-huh how
here,minutes from,or something
here,are playing,%spk okay
here,just got,I forgot
here,minutes from,is ^Phil
here,flags around,yeah I
here,go left,%uh-huh next
here,get out,now %uh-huh
here,just park,for because
here,place around,you can
here,do around,can I
here,go left,the building
here,go back,and then
here,and left,then r-
here,right stop,here yes
here,stop here,yes it's
here,go left,and so
here,beers left,%hes do
here,one way's,%hes I
another stop sign,street there's,there we
parking lot,lot here,was there
the corner,right at,of this
the city,you explore,ask your
the building,go around,<noise> so
the building,^McDonald's is,right in
the building,then %uh-huh,will be
the building,this is,and you
the ^Crown ^Start-Up ^Funds,go to,yes okay
this thing,right into,and then
one this,stop sign,yes <noise>
that intersection,ohh on,here yes
^Crown ^Start-Up ^Funds,a while,are one
^Crown ^Start-Up ^Funds,meeting at,%hes it's
conference center a nice,we have,on ^Moffett
the street,are on,turn right
the street,exit to,right in
the street,and on,we turn
the street,is across,on the
the street,straight along,we turn
the street,end of,there's another
the campus,is on,yes no
^Moffett ^Field,center on,the other
^Moffett ^Field,history of,ohh so
the other building,close to,we were
stop sign the,straight at,and you
stop sign the,and at,turn right
it's,here yeah,one way
it's,around because,one way
it's,and now,more ghost
it's,stop sign,a little
it's,see because,behind the
it's,station now,ohh a
it's,the scenario,again a
it's,go straight,one of
it's,I think,five minutes
it's,a while,close to
it's,barracks yes,there ohh
there,let's go,%hes okay
there,around so,%hes %spk
there,go left,%spk and
there,get out,no no
there,okay go,'cause this
there,to turn,to the
there,just drive,ohh go
there,somebody's swimming,%uh-huh so
there,cars parking,%uh-huh that's
there,go out,okay because
there,are parking,but ohh
there,fastest way,which is
there,back buildings,so we
there,slightly left,and right
there,can park,or on
there,can go,sure okay
there,he's so,okay army
there,to go,so I'll
there,to go,%spk okay
there,way th-,and yeah
there,to go,ohh and
there,yes it's,ohh at
hotel the,back to,%unint your
hotel the,park at,%int yes
the hotel,back to,okay the
the hotel,hotel okay,is where
the hotel,back to,okay do
the hotel,know where,is ohh
bowling alley,we have,where we
the left lane,change to,ohh and
expressway the ^Moffett ^Field,here onto,where you
the end,and at,after the
that,^Phil cool,sounds like
gym,post office,and then
this lane,this here,and just
the gas station,go to,before we
the gas station,<noise> so,is on
street the,left on,%spk do
street the,then on,turn left
the building ^Nanotech,left here,is the
here's,then </noise>,again one
here's,ohh and,a place
conference room two,documents to,I can't
this,twenty five,is a
this,turn around,is one
this,there 'cause,is one
this,okay because,is one
this,okay so,is the
this,this way,is one
this,twenty five,is a
the gym,go to,okay okay
the gym,go to,%int okay
the gym,pool of,somebody's swimming
^Moffett field,stay at,yes %spk
four seventeen ^McCoon,he's at,yes okay
the drive-through,something from,so we
^Funds ^Crown ^Start-Up,okay so,army barracks
it,know where,is no
it,ohh %spk,was good
it,yes %spk,used to
^Nanotech ^Industries,%spk it's,make it
sign the stop,here at,we go
sign the stop,ohh at,we turn
the street an exit to,then there's,right in
the army barracks,go to,yes okay
the army barracks,doing at,%hes I'm
the army barracks,is at,yes he's
the army barracks,right into,maybe just
sign stop,see a,it's a
this building,corner of,here ohh
this building,work at,yes %spk
this building,is thi-,in charge
the nearest gas station,the neg,is on
the building with the huge antenna on top,^Nanotech is,so ohh
drive-through,gym %unint,%unint go
the parking lot,turn into,ohh <noise>
the parking lot,out of,just go
the parking lot,and then,of the
the parking lot,right onto,here parking
the parking lot,here onto,%uh-huh then
the conference room,that's that's,is that
this street,right onto,and then
his house,go to,we can
post office,%uh-huh so,gym and
post office,is %hes,okay yeah
sign next stop,turn right,you need
that's,there %uh-huh,where we
that's,yes okay,five minutes
