^Hangar ^One,with a,last year
^Crown ^Start-Up ^Funds,going to,ohh okay
the one way,here to,straight and
the stop sign,and at,turn right
the stop sign,%hes at,if you
the stop sign,%spk at,if you
the stop sign,there at,turn right
the stop sign,right at,okay and
the stop sign,okay at,you can
the stop sign,straight at,okay yes
the stop sign,and at,there turn
the stop sign,%int at,just go
the stop sign,and at,turn left
the stop sign,yeah at,just stay
his,^Phil at,after his
parking lot the,back to,and with
it,alright %spk,was really
it,the yeah,used to
it,here is,better or
it,looks like,used to
it,okay and,is %hes
it,last year,was still
it,to leave,that way
it,paying for,you know
it,said that,is a
^Fund the ^Crown ^Startup,the ^Fund,perfect okay
^San ^Francisco,raised in,ohh so
^Nanotech ^Industries,meeting there,ahh I
the barracks,the to,okay okay
a museum,commissary or,%hes the
way that,an exit,okay so
way that,go out,%unint so
way that,%unint yeah,%unint and
commissary,alley or,or a
commissary,where exactly,the commissary
commissary,commissary ohh,okay so
^Sam's,there to,and email
this one,%int the,the I
the conference center,course visit,ohh or
the conference center,museum %hes,I need
another department store,a a,and %hes
thirty four,between yeah,and yes
sign the stop,gate at,just go
barracks the,off at,yes okay
stop sign the,left at,alright %spk
stop sign the,yeah at,if you
area this,up in,I see
it's,cheaper or,much cheaper
it's,the right,side okay
it's,five minutes,i- very
there,straight %uh-huh,and %hes
there,we'll start,okay yeah
there,just standing,%hes yeah
there,go straight,okay so
there,go in,it'll yeah
there,go in,tennis and
there,to get,yes please
there,think but,it should
there,a meeting,^Nanotech ^Industries
there,to go,directly or
there,I be,have a
there,to get,how long
there,to get,about five
there,%hes yes,turn right
there,go straight,should okay
there,to get,yeah sure
there,we'll be,around eight
there,%uh-huh in,and here
two,wow %hes,yeah one
the commissary,out for,ohh sure
the commissary,exactly commissary,ohh commissary
the commissary,go to,straight and
the commissary,get to,so ohh
the commissary,%unint so,ohh here
the commissary,okay so,here is
the commissary,mean the,and the
the commissary,is ve-,here is
the area,living in,for a
the area,here in,%hes %hes
^Nanotech,go to,okay %hes
^Nanotech,going to,yeah we
^Nanotech,get to,okay can
^Nanotech,meeting with,was uneventful
the hotel,back to,okay okay
the hotel,back to,okay and
the hotel,back to,and now
the hotel,back to,hotel yes
the other one,a department,was more
this building,this well,it looks
the %int parking lot,out of,again okay
^McDonald's,now you,%unint yeah
our parking lot,the from,okay yeah
angel of funds company,kind of,and ohh
that way,right right,have to
hotel the,back to,okay let
the %hes department store,to be,at the
area the,in in,or actually
a golf course,yes and,right yeah
the ^McDonald's drive-through,and to,on the
golf course the golf,get on,somehow %spk
that,ohh yeah,was the
that,turn right,is the
that,at see,%hes and
the post office,go to,and then
the post office,let's try,okay perfect
^Nanotech ^Industries the %hes,house to,probably just
hotel,settling into,room I'm
hotel,the hotel,yes so
a bowling alley,ohh or,or commissary
here,left yeah,make a
here,a left,and just
here,turn right,and alright
here,you live,in in
here,far from,not far
here,far from,and actually
here,friend working,'cause I
here,%hes yeah,to the
here,they yeah,just go
here,park somewhere,okay what
here,just arrived,and now
here,go and,turn right
here,office so,so here
here,turn right,and turn
here,left up,here alright
here,up here,alright yes
here,please please,if you
here,alright and,you can
here,was landing,%unint yeah
here,yeah turn,turn right
here,like a,is actually
here,okay stop,perfect %int
here,commissary ohh,to the
here,can park,on the
here,here and,is so
here,can park,that should
here,go straight,and okay
here,yes and,turn left
here,swimming pool,you can
here,out of,there's %unint
here,the commissary,is very
here,very much,is the
here,there so,okay then
here,turn left,turn left
here,and and,then turn
here,%uh-huh and,you can
here,I've been,for two
here,%int %hes,turn right
here,can park,that's fine
here,again okay,to the
here,interesting right,I'm wondering
here,that yeah,just go
here,jets in,yeah %unint
here,can park,somewhere drop
here,%hes go,%int and
here,%spk yeah,I was
here,thank you,at %hes
here,you working,in the
here,right yeah,you can
here,parking lot,turn okay
here,yes exactly,turn left
here,and lives,I dropped
here,^Sam lives,and he
here,pull out,to the
here,turn left,alright lives
here,%unint okay,turn right
here,go straight,okay these
here,straight actually,you can
here,main street,you can
here,yeah and,you turn
here,yeah okay,turn right
here,twenty five,turn right
here,already waiting,for you
here,to straight,and at
here,turn left,ohh it's
here,fine straight,okay %hes
here,going from,here to
here,from here,to your
here,park somewhere,yes so
here,there and,you can
here,turn right,to the
here,^Phil okay,turn right
here,when exactly,keep on
here,go straight,we'll meet
here,%spk then,you can
drive-through,building to,basically okay
base,come on,almost once
base,come on,he is
further stop sign,and at,that you'll
they,department store,have %unint
gym the,after exactly,I can
his place,h- at,okay well
his place,get to,please okay
the ^Fund,this is,the ^Crown
one,there's somewhere,right there
one,two yeah,was more
the swimming pool,NEX there's,here you
department store the,commissary and,they have
there way,out now,need to
the next stop sign,and at,<noise> straight
town,do around,this afternoon
this street,go follow,there okay
this street,%int follow,okay and
this street,go on,keep on
this street,keep on,and %int
this street,just follow,okay %spk
gas station a,you to,please please
the intersection,%hes at,turn right
the intersection,of at,there and
the intersection,and at,%hes turn
the intersection,and at,there turn
his house,get to,and then
his house,then from,to the
his house,him at,in five
this area,of know,pretty well
this area,in in,up here
this area,right okay,is very
this,straight so,is a
this,no way,is one
this,okay in,%unint yeah
this,yeah %unint,is fine
this,left alright,will be
this,%int yeah,I think
this,it was,well this
this,environment yeah,is sort
this,happen with,if you
this,follow straight,for a
this,yes so,is the
the place,this one,know yeah
the gym,go to,and to
the gym,go to,okay so
the gym,go to,okay let
house my,be at,this afternoon
main street the,on on,here you
that street,back to,where we
that street,just follow,%uh-huh and
that street,get on,turn left
that street,get on,keep on
the parking lot,can enter,here turn
the old NEX,lot for,what was
tennis courts,in there,yeah and
the street,sure where,is right
the street,get on,there at
the street,then follow,%uh-huh the
the street,go follow,ohh here
further stop sign the,and at,there you'll
post office the,is exactly,okay that's
post office the,there is,and we
post office the,park behind,so here
building the,go around,to drive-through
the ^McDonald's,and to,drive-through on
the ^McDonald's,go to,%spk %hes
the end,on at,you can
